Gene,log2FoldChange
ELOVL1,-0.47049792796011203
MED8,-0.1881856302874265
SZT2,-1.2392701950125862
HYI,2.610306947890431
KDM4A,-1.5083700497112498
ST3GAL3,-0.4362936303037799
IPO13,-0.9575699868738342
DPH2,-1.004833573171434
ATP6V0B,-0.42434258320706975
B4GALT2,1.9766683806892908
CCDC24,2.200632259561974
DMAP1,-0.18538380006991292
ERI3,1.1855171282000905
RNF220,-1.6586494436786008
TMEM53,0.3380371825690112
RPS8,0.12542184611221863
PLK3,-2.4423756057889325
BTBD19,0.2638556200245617
EIF2B3,-0.45142032101238905
HECTD3,-0.8298868411476628
UROD,1.245284150573909
MUTYH,-1.751152544367195
TOE1,-1.8729896462820772
TESK2,-2.5902576503442405
MMACHC,0.1405169399171868
PRDX1,1.0985230799108112
AKR1A1,1.2594314853118038
NASP,-1.5609456067221588
GPBP1L1,-0.9706018671241754
TMEM69,0.21239527637635675
IPP,-0.03776628968402262
PIK3R3,-3.4214822498320454
TSPAN1,5.8341625213288
POMGNT1,1.02093406067738
LRRC41,1.0865216570288243
UQCRH,-0.04054792316242962
NSUN4,-0.15434276172531225
FAAH,2.9876467866898433
MKNK1,-1.430462568948556
MOB3C,-1.1755836352191038
ATPAF1,0.35435364680854486
EFCAB14,-1.0736563855732273
PDZK1IP1,5.904143931991911
CMPK1,0.022135838262303833
SPATA6,0.7454813814184957
BEND5,2.955368322094177
FAF1,-0.8759134869404448
CDKN2C,-0.6885413402354619
RNF11,0.2968335581598121
EPS15,-1.913957684811972
OSBPL9,0.07441896785095262
NRDC,-1.070581068713545
TXNDC12,0.0732084304339346
KTI12,-1.8249705363704347
BTF3L4,0.4293243322990696
ZFYVE9,1.1325281632019464
CC2D1B,-1.3514736844975448
PRPF38A,-1.1659274355581257
ZCCHC11,-1.0385415782166194
GPX7,-1.7405649674461254
COA7,-0.2496377331596913
ZYG11B,-0.006005219153920785
ECHDC2,1.4971251992049215
SCP2,0.7192478734408351
CPT2,0.8672558827716411
C1orf123,0.3528960582142406
MAGOH,-0.8459771512221024
NDC1,-1.333830553793153
YIPF1,-0.47989276463943226
HSPB11,-0.20580441801097
LRRC42,1.1236688314532746
TMEM59,0.6836903613801766
TCEANC2,-1.692248313955826
MRPL37,1.028651307040443
SSBP3,-1.318408477840464
TTC4,-0.36340642097759596
PARS2,0.5213571853012592
DHCR24,2.618324697392886
USP24,-2.0689747597884764
PLPP3,0.5736809795422192
OMA1,-1.0348252869062238
MYSM1,-1.167343398571617
JUN,-0.744358683664055
FGGY,2.3525174059170344
HOOK1,3.77548670984296
NFIA,3.0795462118587222
TM2D1,0.7035678996570591
INADL,1.7621395162372877
USP1,-1.1368392135091534
DOCK7,1.2802490802309234
ATG4C,-1.1738401935397473
ALG6,-1.225999688892965
ITGB3BP,0.8194653912492036
EFCAB7,0.054590881885845426
PGM1,1.833455815719996
ROR1,2.629617865397607
RAVER2,0.9921917689586625
JAK1,-1.1583818535535177
AK4,5.0414150862722895
DNAJC6,1.3832725547701337
LEPROT,1.1874185928483318
LEPR,0.9289526570760689
PDE4B,-5.556476222144344
MIER1,-1.404746394733514
SLC35D1,-0.5650714660466415
SERBP1,-0.17272640474867432
GADD45A,2.488152339275099
GNG12,3.1335280393653404
WLS,1.8063880145816087
LRRC40,-0.3526819369032523
SRSF11,-0.7279248016546952
ANKRD13C,-1.1341602525206995
HHLA3,0.9770076298306799
CTH,-0.030348157899462075
ZRANB2,-0.8969276411957717
FPGT,-0.11489110866808398
CRYZ,3.5634645415325945
TYW3,-0.3048636850060671
ACADM,0.9034557902132301
RABGGTB,1.215802669531356
PIGK,-0.7748506383418722
ZZZ3,-0.6549324036026793
USP33,-1.1605357343757332
FAM73A,0.49444250159267494
FUBP1,-1.3457311327354038
DNAJB4,-0.8862799668226895
GIPC2,4.439295463417874
IFI44L,1.823431353122915
IFI44,-0.6166724178423428
TTLL7,2.210037862923666
PRKACB,-2.8188182870773173
RPF1,-1.584047500489798
GNG5,0.095682230931727
CTBS,-0.3654034739277541
SSX2IP,0.7391630273897796
SYDE2,1.3832433060123666
C1orf52,-1.3535600308820426
BCL10,-0.42761558216930595
DDAH1,4.2177733410948575
CYR61,3.2612396244483466
ZNHIT6,-0.6784641528560862
ODF2L,-1.6836353995412179
SH3GLB1,-0.5522631908592871
SEP15,-0.416188225040304
HS2ST1,-0.42559781346764697
LMO4,-2.166073434299279
PKN2,-0.34772291022653723
GTF2B,-1.4310014471806414
CCBL2,-0.5040003393181653
RBMXL1,-1.034497797111717
GBP3,0.03097137450593065
GBP1,0.14423361544233276
GBP2,-0.2903551194494414
GBP5,-2.584834430390735
LRRC8B,-2.6510534789874156
FLJ27354,-2.4100674374166364
LRRC8D,-1.406286177870517
ZNF326,-0.5195744699629464
ZNF644,-1.2110085623336202
TGFBR3,-1.6853368507481357
BTBD8,0.2919145034044232
GLMN,-1.9977072205633766
RPAP2,-1.1777861017207394
EVI5,-1.3427644492795883
RPL5,-0.031698343243243415
FAM69A,-3.4041074366301287
MTF2,-1.57163809088822
TMED5,-0.014628462139208145
CCDC18,-2.150108752417833
DR1,-2.00790078819418
FNBP1L,3.434973035759574
BCAR3,1.4099150121390978
DNTTIP2,-1.391722323171239
GCLM,0.4163573707175228
ABCD3,0.13088624426381476
F3,0.9282652241023341
CNN3,2.9947600388190687
ALG14,1.071334790721388
TMEM56,3.729148364150215
RWDD3,-0.6967495602406941
PTBP2,-0.9934824200516954
DPYD,-3.7140450981444
AGL,-0.8483034463375986
SLC35A3,-0.2157744713734749
MFSD14A,-1.3037333215659068
SASS6,-1.4498572139598909
TRMT13,-1.189807622255423
DBT,-0.572558122402349
RTCA-AS1,-0.7738625280263898
RTCA,-0.30991832495071775
VCAM1,1.812282945904572
EXTL2,-0.6541548824762403
RP4-549L20.3,-0.04769828720975911
SLC30A7,-0.9093602954371532
DPH5,-0.28503383169898394
RP11-421L21.3,-0.9516220895473754
RNPC3,-0.08837211465425698
PRMT6,-1.3727361750245761
VAV3,0.25448681518503274
SLC25A24,-0.5073901202853938
PRPF38B,-2.538754049194212
STXBP3,-0.5886458056071199
CLCC1,0.10092998081679623
WDR47,-1.3541730442443558
TAF13,-1.0931964399770069
TMEM167B,-0.5267670129024651
SARS,0.3925276670083975
CELSR2,2.8612497465082467
SORT1,0.2342044292981738
PSMA5,-0.8523992774835757
GNAI3,-0.31759949510310986
AMPD2,-1.114266570598695
GSTM4,0.9161473635386227
GSTM2,0.3884983853239873
GSTM3,0.530079585568429
CSF1,-1.2839913322663845
AHCYL1,1.0351159437089352
STRIP1,-2.3909034425849645
RBM15,-2.4038765838526874
SLC16A4,5.0367963994012115
LAMTOR5,1.6885199170499443
CD53,-5.8820663454531665
LRIF1,-1.4556498344563393
DRAM2,-0.3532609299746955
CEPT1,-0.31201048147328597
DENND2D,-3.210244105961164
PIFO,5.032932352209532
WDR77,-0.9716026332307907
ATP5F1,0.17607557500765794
RAP1A,-1.8654041497496034
FAM212B,-1.9766100848873422
DDX20,-1.5547474689656113
CTTNBP2NL,0.1356700480529674
ST7L,-0.39108043603522324
CAPZA1,-1.7235249607530498
MOV10,-0.8647707541328731
RHOC,0.39801377701192275
SLC16A1,0.46667760771982575
SLC16A1-AS1,0.031303822734783764
PHTF1,-1.755106015957306
RSBN1,-1.8094774696353262
AP4B1,-2.543823118820504
DCLRE1B,-1.7641574440007162
HIPK1,-1.8138746671125607
TRIM33,-1.6901410220971538
BCAS2,-1.4792677700648555
NRAS,-0.18259650171213257
CSDE1,-0.4226629222779316
SIKE1,-0.5913544518385979
TSPAN2,-1.4760831819721045
VANGL1,-0.8548860925707248
ATP1A1,0.5114674538797053
CD58,-1.1583004085226403
CD2,-5.2586257013668245
TTF2,-1.4579929838568153
MAN1A2,-1.361064963594888
FAM46C,-3.940012838987746
GDAP2,-1.6817583562060885
WDR3,-0.6759265418872091
WARS2,0.09964422715967425
RP11-418J17.1,-0.7806158691673397
HAO2,1.0008689085522333
PHGDH,1.5558090803219837
NOTCH2,-0.9901416932703968
SEC22B,0.23068115606191195
AC253572.1,-1.5287084500367851
LINC00623,-0.7643420535394286
RP11-14N7.2,4.692661765794002
NBPF15,-0.2436686541562972
SRGAP2B,-1.228049163726995
AC241585.2,-1.119990727471262
GPR89A,-1.115962920377588
PDZK1,5.497017432741145
RNF115,-0.7507800395598649
POLR3C,-0.4173679246529251
NUDT17,0.5021942415941988
PIAS3,-0.9946415769804015
PEX11B,0.19586543317460905
RBM8A,-0.684687632054328
LIX1L,-1.699847474931731
POLR3GL,-1.449997837329986
TXNIP,-0.8230769840956037
PRKAB2,-0.3880775148592685
RP11-337C18.8,-0.9577833411784402
FMO5,-0.0052829828045030365
CHD1L,-1.4906600885523142
BCL9,-0.06773302922680491
ACP6,0.16960828003376344
GPR89B,-1.808519684374577
LINC01138,-1.590380327421157
AC245100.1,-1.3049939114677946
NBPF14,-0.9766357996403421
PDE4DIP,-0.6655480524702357
NBPF9,0.17742041156757085
CH17-189H20.1,0.13618944916747502
NBPF19,-2.6908501222071988
LINC00869,-0.5950469349810587
HIST2H2BE,-1.3311724831937366
HIST2H2AC,-2.240608328126132
BOLA1,1.0879291194708993
SF3B4,-1.090947213197985
OTUD7B,0.018437644921860064
VPS45,-1.2617131090195024
ANP32E,-1.0481023031185157
APH1A,-0.18971926625048624
C1orf54,-2.7619696755233685
CIART,4.116250430467607
MRPS21,0.33216989115308027
PRPF3,-0.988110531379211
RPRD2,-0.6283535011809892
TARS2,-0.4262739012160986
MCL1,-1.4252988101855584
ENSA,-0.5296231772006663
GOLPH3L,0.6780344420772529
CTSS,-4.3746982780903965
ARNT,-1.446689546897782
SETDB1,-0.9833294737817574
CERS2,1.624431699333697
FAM63A,0.8689738297015364
PRUNE,-0.14621052797947234
C1orf56,-0.006373663790858914
CDC42SE1,-3.6025275547461235
MLLT11,-1.2635231770573998
GABPB2,-1.5504870953536456
SCNM1,-0.7931349736410076
VPS72,-0.4533005397300334
PIP5K1A,-0.8644515584957803
PSMD4,-0.19090987385538322
ZNF687,-1.2605816172959805
PI4KB,-0.8696782094639975
RFX5,-1.8039603903019508
SELENBP1,0.9427165354662813
PSMB4,-0.04108443576639965
POGZ,-0.6889833567340862
TUFT1,2.3751397380486816
SNX27,-0.0399382396662006
MRPL9,-0.30536207100696455
OAZ3,1.2834208570635197
TDRKH,-2.5276901986174036
THEM4,-1.4508674461051103
S100A10,1.900670404728992
S100A11,0.9799676425515448
S100A8,-9.181631848004804
S100A6,0.4273629793931919
S100A4,-4.506644408580501
S100A16,4.048029118325091
S100A13,4.980643194059421
S100A1,8.205147573419849
RP1-178F15.4,-0.64376194067138
CHTOP,-0.8824934382878088
SNAPIN,0.26456940170337157
ILF2,-0.4357702410355294
INTS3,0.5495508474924267
SLC27A3,-0.23489046736752917
GATAD2B,-2.1229895736533066
CRTC2,-1.7614511053841344
SLC39A1,1.8264215113677258
CREB3L4,0.9539864390080345
JTB,-0.37678467413347216
RAB13,3.1509013982706513
RPS27,-1.2208357353027637
TPM3,-1.4956393621441137
C1orf43,0.949739161195723
UBAP2L,-0.8078932699651575
HAX1,0.04493168436466292
IL6R,-0.21708636032464906
UBE2Q1,-0.7430074660201754
ADAR,-1.6429174294680922
PMVK,0.94884606655009
PBXIP1,-1.9544617578873598
PYGO2,-1.8316188681724699
SHC1,0.5174710275810744
CKS1B,1.1914798572610454
FLAD1,-1.1554630308302085
ZBTB7B,-0.5310467558746994
ADAM15,-0.3354411463625073
EFNA4,0.4518107323651277
EFNA1,4.798165974389341
SLC50A1,-0.02510866137361312
DPM3,0.13634660657341785
KRTCAP2,-0.01126081128160004
THBS3,0.6873390474476949
MTX1,1.1057499020338553
GBA,0.19295086061515931
FAM189B,0.4780553041881576
SCAMP3,-0.13909320849678297
CLK2,-1.2155582810180996
HCN3,1.2200342266268953
FDPS,-0.26538852840999566
RUSC1,0.2917012291900112
ASH1L,-0.7906860489254187
ASH1L-AS1,-1.7114609578666233
MSTO1,-0.48667452156799734
YY1AP1,-1.3599284740125965
DAP3,-1.0731241126542852
GON4L,-1.4691922794162704
RIT1,0.29436371221218477
KIAA0907,-0.9309322288584466
ARHGEF2,-2.9642724871274333
SSR2,-0.4728262625416548
UBQLN4,-1.148637806992447
LAMTOR2,0.3272892307090322
LMNA,1.171929377000159
SEMA4A,-4.044679077824471
SLC25A44,-1.0811401516894854
PMF1,-0.5568520429113757
SMG5,-0.5350025557754706
TMEM79,-1.4544873270774026
GLMP,0.7724916340361286
CCT3,-0.345080114055805
MEF2D,-2.2584443230822595
APOA1BP,0.6928037261366079
GPATCH4,-0.6579510703847279
ISG20L2,-1.7249829122478428
RRNAD1,0.002166020404008359
MRPL24,1.2042412306954327
HDGF,0.7668887759773659
PRCC,-0.6819678789491358
ARHGEF11,-2.836617788666399
ETV3,-2.7274004103229395
IFI16,-1.5817264430381135
DUSP23,2.539674933200168
TAGLN2,0.742136360331105
PIGM,-0.7819599253321244
IGSF8,-0.23186871102134254
PEA15,-0.5474670824456955
DCAF8,-0.5016065990365958
PEX19,0.5366080655493721
COPA,-0.7858970564347736
NCSTN,-0.21839862598987445
CD48,-6.000765979629593
F11R,1.020943148165239
TSTD1,0.37579893946134574
USF1,-1.1719911867373713
KLHDC9,3.8669170913277586
PFDN2,-0.6465452297956471
NIT1,1.0189750614165385
DEDD,-0.8559973921998868
UFC1,0.24454848161209924
USP21,-1.1077136055673422
PPOX,-0.31469422163132654
B4GALT3,-1.0205967036596226
NDUFS2,0.17700458257214624
FCER1G,-7.008878469781328
TOMM40L,-1.4639937541753971
SDHC,0.7670863919224487
FCGR2A,-2.487880692583598
HSPA6,-3.597743152372308
FCGR3A,-6.259335611114282
FCRLB,-0.35358021421319463
DUSP12,-1.1099807563147912
ATF6,-0.9775715493963917
UHMK1,-1.1572570288333794
UAP1,0.17052957057844756
DDR2,-3.5407817737780514
HSD17B7,-0.4743686109601102
RGS5,-7.0898679544134335
RGS5.1,-0.28135834935440185
MGST3,1.8552791441448564
ALDH9A1,-0.14630720199983932
TMCO1,0.33891039267641615
UCK2,-1.551232768019077
POGK,-0.7361749878385008
TADA1,-0.43002946221347127
POU2F1,-0.8840383798937619
CREG1,1.2197443693079326
RCSD1,-5.944492139967389
MPZL1,1.6970708392832732
MPC2,1.7708917285593906
DCAF6,0.4792185983854616
TIPRL,-0.937595794219651
SFT2D2,-0.5014573115887446
ATP1B1,4.5297395594984895
NME7,1.2620975656507967
BLZF1,0.2684906222000757
SLC19A2,0.2305900415410417
C1orf112,-1.6946354247830353
METTL18,-1.095445843875866
SCYL3,-1.8952342033043894
KIFAP3,0.40332075161917696
GORAB,-0.9978059296254559
FMO1,4.30491044011855
FMO4,0.9565697672384168
PRRC2C,-1.1470329602083775
VAMP4,-1.6047276913497184
METTL13,-1.0728867219025098
PIGC,-0.5526151276256345
SUCO,-1.2932147520449142
PRDX6,1.452492612893043
KLHL20,-1.0375018381539804
CENPL,-2.032755646843216
DARS2,-0.6540496500456122
ZBTB37,-1.2376847149255996
RC3H1,-1.700673386586468
RABGAP1L,-3.5094293160995793
CACYBP,-1.7559376713007266
MRPS14,0.051977967524207594
KIAA0040,-2.385097922439183
RFWD2,-1.70198996613681
RASAL2,-0.8291532851461373
RALGPS2,-0.9745135110167162
FAM20B,-0.918677534894595
TOR3A,-1.4340766550542936
ABL2,0.2458431191753846
SOAT1,-1.4554491100395666
TOR1AIP2,0.3841676321949787
TOR1AIP1,-1.196941769963141
CEP350,-1.860190133394609
QSOX1,0.3279391352319035
ACBD6,0.2661239289256656
XPR1,-0.5084353554227479
STX6,-1.7263644261713555
MR1,-1.3498496506156414
GLUL,0.1884617048215397
RNASEL,-1.3909497064379348
RGS16,-3.366891102105624
NPL,-0.35597772752681855
DHX9,-0.9613918500786638
SMG7,-1.284239860368032
ARPC5,-1.8025902575062847
RGL1,1.503378406816851
TSEN15,-1.5793708160904434
C1orf21,-1.8423176031585717
EDEM3,-2.2582962682235133
FAM129A,-4.1400155469555395
RNF2,-1.1356627370270032
TRMT1L,-0.1789894017335134
SWT1,-0.695860918033162
IVNS1ABP,0.5365622210508183
TPR,-0.9397133161758796
C1orf27,0.2841716795332862
RGS1,-5.136691679844093
RGS2,-5.032914123885259
UCHL5,-0.9261641189629086
TROVE2,-0.96591663820052
GLRX2,-0.37761041469742745
CDC73,-0.7315408389569392
ZBTB41,0.04890320256895572
DENND1B,-2.8152708385162413
C1orf53,1.787372421140733
NEK7,-1.6267151947734033
PTPRC,-5.11897665498358
ZNF281,-2.1724482493844204
DDX59,-0.9854487874067772
CAMSAP2,0.8511202115767474
TMEM9,2.283452239175883
CSRP1,-0.8879156126600424
RP11-134G8.7,-1.8182731054471892
IPO9,-0.6796538750452121
TIMM17A,0.06662144015857838
RNPEP,-0.16926446027643097
ELF3,4.660081143538254
ARL8A,-1.0132310985190887
PPP1R12B,-1.5356413327070457
KDM5B,-0.6222139252325019
PCAT6,2.262369020906015
RABIF,-1.6259593320608894
KLHL12,-0.23737592125050094
ADIPOR1,0.10250988416518583
CYB5R1,0.41706538542483357
TMEM183A,-0.7443006729817698
BTG2,-1.1472237637901004
ATP2B4,-1.922434006287124
ZC3H11A,-1.0843219675540974
SNRPE,0.8363172536268765
PPP1R15B,-0.9454018296447964
MDM4,-1.4299609775740207
RBBP5,-1.4136618441925162
DSTYK,-1.2415095814042696
NUAK2,-0.3808288748573549
