Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDm00007847,ccRCC,7,30,1.3333333333333333,-2.232127446988334,[['KRT8']],"[['ACTB', 'KRT18', 'TIMP1']]","[['VIM', 'DAB2', 'VDAC1', 'PEBP1', 'GAPDH', 'SERPINA1', 'CCND1', 'KRT18', 'TPM1', 'TIMP1', 'CFL1', 'PTPRC', 'ENO1', 'SPP1', 'RAC2', 'FTL', 'CRYAB', 'PKM', 'CLU', 'TPI1', 'PGK1', 'ACTB', 'KRT8', 'HINT1', 'CD63', 'CST3']]",1,3,26,0.0333333333333333,0.0047619047619047
CIDm00008189,ccRCC,3,30,1.3333333333333333,-2.128065348404866,[],"[['ACTB', 'VDAC1']]","[['FTL', 'VIM', 'PKM', 'VDAC1', 'PEBP1', 'GAPDH', 'TPI1', 'PGK1', 'KRT18', 'TIMP1', 'CFL1', 'ENO1', 'HINT1', 'ACTB', 'CRYAB', 'TPM1', 'SPP1', 'RAC2', 'SEC61G']]",0,2,19,0.0,0.0
CIDm00011301,ccRCC,4,30,1.5,-2.496931174671605,[],"[['ENO1', 'PKM', 'ACTB']]","[['VIM', 'PKM', 'VDAC1', 'GAPDH', 'CCND1', 'TPI1', 'KRT18', 'ACTB', 'FTL', 'DAB2', 'CLU', 'KRT8', 'CST3', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'RAC2']]",0,3,18,0.0,0.0
CIDm00018752,ccRCC,3,30,1.3333333333333333,-2.458197045882493,[],"[['VIM', 'KRT8']]","[['VDAC1', 'PEBP1', 'GAPDH', 'CLU', 'KRT18', 'PTPRC', 'ENO1', 'ACTB', 'RAC2', 'VIM', 'KRT8', 'FTL', 'PKM', 'DAB2', 'CD63', 'CCND1', 'TPI1', 'TPM1', 'CFL1']]",0,2,19,0.0,0.0
CIDm00019001,ccRCC,11,30,1.4,-2.2537463986271606,[['TPI1']],"[['DAB2', 'VIM', 'KRT8', 'KRT18', 'CFL1', 'PKM', 'GAPDH', 'ACTB']]","[['FTL', 'VIM', 'PKM', 'DAB2', 'GAPDH', 'CLU', 'KRT8', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'VDAC1', 'CCND1', 'TPI1', 'SPP1', 'ACTB', 'PEBP1', 'CD63', 'HINT1', 'TIMP1', 'PGK1', 'CRYAB', 'SERPINA1', 'RAC2', 'CST3']]",1,8,26,0.0333333333333333,0.003030303030303
CIDm00146898,ccRCC,1,30,1.0,-2.304955014130524,[],[['GAPDH']],"[['FTL', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'CLU', 'KRT8', 'CCND1', 'PGK1', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'ACTB']]",0,1,15,0.0,0.0
CIDm00445375,ccRCC,1,30,1.0,-2.7720649820567784,[],[['PKM']],"[['DAB2', 'GAPDH', 'CCND1', 'PGK1', 'CFL1', 'ENO1', 'ACTB']]",0,1,7,0.0,0.0
CIDm00447791,ccRCC,1,30,1.0,-2.0325832840025195,[],"[['GAPDH', 'CFL1', 'ACTB']]","[['FTL', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'PEBP1', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'PGK1', 'KRT18', 'TPM1', 'PTPRC', 'ENO1', 'SPP1', 'HINT1', 'RAC2']]",0,3,18,0.0,0.0
CIDm00650361,ccRCC,1,30,0.0,-3.3254390204653954,[['PKM']],[['ENO1']],"[['FTL', 'VIM', 'DAB2', 'VDAC1', 'PEBP1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'PGK1', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'SPP1', 'ACTB']]",1,1,17,0.0333333333333333,0.0333333333333333
CIDm00657095,ccRCC,1,30,1.0,-2.2798045460574663,[],[['VDAC1']],"[['FTL', 'CRYAB', 'VIM', 'PKM', 'DAB2', 'PEBP1', 'GAPDH', 'CLU', 'KRT8', 'PGK1', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'HINT1', 'ACTB']]",0,1,17,0.0,0.0
CIDm05287969,ccRCC,14,30,1.1538461538461535,-2.933276542523916,[['CCND1']],"[['VIM', 'PEBP1', 'CCND1', 'VDAC1', 'GAPDH', 'ACTB', 'CD63', 'DAB2', 'KRT8', 'KRT18', 'PKM']]","[['PKM', 'DAB2', 'VDAC1', 'PEBP1', 'GAPDH', 'KRT8', 'CCND1', 'KRT18', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'SPP1', 'ACTB', 'RAC2', 'CRYAB', 'VIM', 'TPI1', 'PGK1', 'SERPINA1', 'CLU', 'HINT1', 'FTL', 'TIMP1', 'CD63', 'HLA-E', 'CST3']]",1,11,27,0.0333333333333333,0.0023809523809523
CIDm09852052,ccRCC,3,30,1.0,-2.090483652366912,[],"[['VIM', 'KRT18', 'KRT8']]","[['DAB2', 'VDAC1', 'PEBP1', 'GAPDH', 'SERPINA1', 'CD63', 'KRT8', 'CCND1', 'CFL1', 'PTPRC', 'ENO1', 'ACTB', 'RAC2', 'CRYAB', 'PKM', 'CLU', 'TPI1', 'TPM1']]",0,3,18,0.0,0.0
CIDm10425705,ccRCC,13,30,1.6,-2.482942390529535,[],"[['CST3', 'VIM', 'CLU', 'CFL1', 'ACTB', 'GAPDH']]","[['CLU', 'CCND1', 'TPI1', 'KRT18', 'FTL', 'CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'SERPINA1', 'KRT8', 'TPM1', 'CFL1', 'PTPRC', 'ENO1', 'SPP1', 'ACTB', 'PEBP1', 'PGK1', 'CST3', 'RAC2', 'HINT1']]",0,6,24,0.0,0.0
CIDm11228183,ccRCC,8,30,1.2857142857142858,-2.649644249794196,[],"[['VDAC1', 'GAPDH', 'ACTB', 'VIM', 'KRT8', 'KRT18', 'CRYAB']]","[['CRYAB', 'VIM', 'PEBP1', 'GAPDH', 'KRT8', 'KRT18', 'PTPRC', 'ENO1', 'ACTB', 'PKM', 'DAB2', 'CLU', 'CCND1', 'TPI1', 'PGK1', 'CFL1', 'SPP1', 'VDAC1', 'TPM1', 'RAC2', 'CD63', 'FTL', 'SEC61G']]",0,7,23,0.0,0.0
CIDm11707110,ccRCC,2,30,1.0,-2.181119334974145,[],"[['GAPDH', 'KRT8', 'PEBP1']]","[['CRYAB', 'VIM', 'PKM', 'VDAC1', 'PEBP1', 'CCND1', 'PGK1', 'CST3', 'KRT18', 'PTPRC', 'ENO1', 'ACTB', 'DAB2', 'GAPDH', 'CLU', 'TPI1', 'TPM1', 'CFL1', 'HINT1', 'RAC2']]",0,3,20,0.0,0.0
CIDm24978538,ccRCC,6,30,1.2,-2.2343114030216533,[],"[['VDAC1', 'VIM', 'GAPDH', 'ACTB', 'CRYAB']]","[['CRYAB', 'VIM', 'PKM', 'DAB2', 'PEBP1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'PGK1', 'KRT18', 'CFL1', 'PTPRC', 'ENO1', 'SPP1', 'ACTB', 'VDAC1', 'CD63', 'TPM1', 'RAC2', 'FTL', 'SEC61G']]",0,5,23,0.0,0.0
CIDs00000271,ccRCC,401,30,1.9364640883977904,-2.119682117289508,"[['VIM', 'TPM1']]","[['CLU', 'VIM', 'VDAC1', 'GAPDH', 'ENO1', 'ACTB', 'PKM', 'CFL1', 'TPM1', 'DAB2', 'PEBP1', 'KRT18', 'PTPRC', 'SPP1', 'KRT8', 'CRYAB', 'HLA-E', 'TPI1', 'PGK1', 'TIMP1', 'CCND1', 'SERPINA1']]","[['CCND1', 'PTPRC', 'ENO1', 'SPP1', 'VIM', 'CRYAB', 'FTL', 'PKM', 'DAB2', 'PEBP1', 'CLU', 'KRT8', 'PGK1', 'KRT18', 'TPM1', 'TIMP1', 'CFL1', 'HINT1', 'RAC2', 'VDAC1', 'GAPDH', 'ACTB', 'SERPINA1', 'TPI1', 'CD63', 'HLA-E', 'CST3', 'SEC61G']]",2,22,28,0.0666666666666666,0.0001662510390689
CIDs00000683,ccRCC,8,30,0.7142857142857143,-7.22838645225962,"[['PGK1', 'GAPDH']]","[['PGK1', 'ENO1', 'GAPDH', 'VIM', 'VDAC1', 'ACTB']]","[['CRYAB', 'VIM', 'PKM', 'DAB2', 'VDAC1', 'GAPDH', 'CLU', 'KRT8', 'CCND1', 'TPI1', 'KRT18', 'CFL1', 'PTPRC', 'ACTB', 'RAC2', 'ENO1', 'FTL', 'TPM1', 'PEBP1', 'CST3', 'TIMP1', 'SPP1', 'HLA-E', 'PGK1']]",2,6,24,0.0666666666666666,0.0083333333333333
CIDs00000835,ccRCC,3,30,1.6666666666666667,-2.0626143175117084,[],[['GAPDH']],"[['SEC61G', 'VIM', 'VDAC1', 'SERPINA1', 'CLU', 'PGK1', 'ENO1', 'ACTB', 'HLA-E', 'CCND1', 'TPI1', 'KRT18']]",0,1,12,0.0,0.0
CIDs00001005,ccRCC,12,30,1.25,-5.232251833780439,"[['ENO1', 'PKM']]","[['PKM', 'ENO1', 'VIM', 'VDAC1', 'GAPDH', 'ACTB']]","[['VIM', 'PKM', 'VDAC1', 'GAPDH', 'CLU', 'PGK1', 'ENO1', 'ACTB', 'KRT18', 'FTL', 'TIMP1', 'PTPRC', 'RAC2', 'DAB2', 'PEBP1', 'KRT8', 'CCND1', 'TPI1', 'TPM1', 'CFL1', 'SPP1', 'HINT1', 'SERPINA1']]",2,6,23,0.0666666666666666,0.0055555555555555
