Drug,Disease,n.source,n.target,d,z,0degree.target.keyprotein,1degree.target.keyprotein,2degree.target.keyprotein,n.0degree,n.1degree,n.2degree,coverage.score,specificity.score
CIDs00018752,ccRCC,3,23,1.3333333333333333,-2.6669852362901985,[],"[['VIM', 'KRT8']]","[['PEBP1', 'RAC2', 'PTPRC', 'KRT18', 'CLU', 'ENO1', 'VIM', 'KRT8', 'FTL', 'CD63', 'CCND1', 'DAB2', 'CFL1', 'TPM1']]",0,2,14,0.0,0.0
CIDm00018752,ccRCC,3,23,1.3333333333333333,-2.6669852362901985,[],"[['VIM', 'KRT8']]","[['PEBP1', 'RAC2', 'PTPRC', 'KRT18', 'CLU', 'ENO1', 'VIM', 'KRT8', 'FTL', 'CD63', 'CCND1', 'DAB2', 'CFL1', 'TPM1']]",0,2,14,0.0,0.0
CIDm03342300,ccRCC,1,23,1.0,-2.6622970971158035,[],"[['SERPINA1', 'SPP1']]","[['PTPRC', 'ENO1', 'TIMP1']]",0,2,3,0.0,0.0
CIDs05289314,ccRCC,1,23,1.0,-2.6622970971158035,[],"[['SERPINA1', 'SPP1']]","[['PTPRC', 'ENO1', 'TIMP1']]",0,2,3,0.0,0.0
CIDs44285281,ccRCC,2,23,1.0,-2.659345973425556,[],"[['SERPINA1', 'SPP1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'TIMP1', 'CST3']]",0,2,8,0.0,0.0
CIDs44285312,ccRCC,2,23,1.0,-2.659345973425556,[],"[['SERPINA1', 'SPP1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'TIMP1', 'CST3']]",0,2,8,0.0,0.0
CIDm10439525,ccRCC,2,23,1.0,-2.659345973425556,[],"[['SERPINA1', 'SPP1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'TIMP1', 'CST3']]",0,2,8,0.0,0.0
CIDm44285312,ccRCC,2,23,1.0,-2.659345973425556,[],"[['SERPINA1', 'SPP1']]","[['VIM', 'FTL', 'KRT8', 'PTPRC', 'DAB2', 'KRT18', 'TIMP1', 'CST3']]",0,2,8,0.0,0.0
CIDm22485260,ccRCC,3,23,1.3333333333333333,-2.643510810552068,[],[['TIMP1']],"[['SERPINA1', 'DAB2', 'TIMP1', 'VIM', 'PEBP1', 'CD63', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'ENO1']]",0,1,11,0.0,0.0
CIDm20735191,ccRCC,3,23,1.3333333333333333,-2.643510810552068,[],[['TIMP1']],"[['SERPINA1', 'DAB2', 'TIMP1', 'VIM', 'PEBP1', 'CD63', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'ENO1']]",0,1,11,0.0,0.0
CIDm22485291,ccRCC,3,23,1.3333333333333333,-2.643510810552068,[],[['TIMP1']],"[['SERPINA1', 'DAB2', 'TIMP1', 'VIM', 'PEBP1', 'CD63', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'ENO1']]",0,1,11,0.0,0.0
CIDs46938728,ccRCC,3,23,1.3333333333333333,-2.643510810552068,[],[['TIMP1']],"[['SERPINA1', 'DAB2', 'TIMP1', 'VIM', 'PEBP1', 'CD63', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'ENO1']]",0,1,11,0.0,0.0
CIDm46938728,ccRCC,3,23,1.3333333333333333,-2.643510810552068,[],[['TIMP1']],"[['SERPINA1', 'DAB2', 'TIMP1', 'VIM', 'PEBP1', 'CD63', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'ENO1']]",0,1,11,0.0,0.0
CIDs22485260,ccRCC,3,23,1.3333333333333333,-2.643510810552068,[],[['TIMP1']],"[['SERPINA1', 'DAB2', 'TIMP1', 'VIM', 'PEBP1', 'CD63', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'ENO1']]",0,1,11,0.0,0.0
CIDs22485291,ccRCC,3,23,1.3333333333333333,-2.643510810552068,[],[['TIMP1']],"[['SERPINA1', 'DAB2', 'TIMP1', 'VIM', 'PEBP1', 'CD63', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'ENO1']]",0,1,11,0.0,0.0
CIDs20735191,ccRCC,3,23,1.3333333333333333,-2.643510810552068,[],[['TIMP1']],"[['SERPINA1', 'DAB2', 'TIMP1', 'VIM', 'PEBP1', 'CD63', 'PTPRC', 'SPP1', 'KRT18', 'CLU', 'ENO1']]",0,1,11,0.0,0.0
CIDm05280445,ccRCC,6,23,1.0,-2.641661815377761,[],"[['VIM', 'PEBP1', 'CCND1', 'CLU', 'TPM1', 'KRT8', 'KRT18', 'TIMP1']]","[['SERPINA1', 'RAC2', 'KRT8', 'CRYAB', 'PTPRC', 'SPP1', 'HINT1', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'PGK1', 'ENO1', 'TPM1', 'VIM', 'PEBP1', 'CCND1', 'TIMP1', 'HLA-E', 'CD63', 'CST3']]",0,8,21,0.0,0.0
CIDs05280445,ccRCC,6,23,1.0,-2.641661815377761,[],"[['VIM', 'PEBP1', 'CCND1', 'CLU', 'TPM1', 'KRT8', 'KRT18', 'TIMP1']]","[['SERPINA1', 'RAC2', 'KRT8', 'CRYAB', 'PTPRC', 'SPP1', 'HINT1', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'PGK1', 'ENO1', 'TPM1', 'VIM', 'PEBP1', 'CCND1', 'TIMP1', 'HLA-E', 'CD63', 'CST3']]",0,8,21,0.0,0.0
CIDs00448042,ccRCC,4,23,1.25,-2.638688638019393,[],"[['SPP1', 'VIM', 'CFL1']]","[['VIM', 'PEBP1', 'CCND1', 'RAC2', 'KRT8', 'PTPRC', 'SPP1', 'HINT1', 'DAB2', 'KRT18', 'CLU', 'CFL1', 'FTL', 'CST3', 'CRYAB', 'ENO1', 'TPM1']]",0,3,17,0.0,0.0
CIDs00123915,ccRCC,1,23,1.0,-2.6318494100075407,[],[['CST3']],"[['VIM', 'PEBP1', 'KRT8', 'CRYAB', 'PTPRC', 'DAB2', 'CLU', 'CFL1', 'ENO1']]",0,1,9,0.0,0.0
